,id,Iforest,LOF,FCA,
74,38119-NTFS:\Windows\WinSxS\amd64_microsoft-windows-advancedtaskmanager_31bf3856ad364e35_6.3.9600.16384_none_9fa53aeabf7657ba\Taskmgr.exe,1,0,0,1
75,42975-NTFS:\Windows\WinSxS\amd64_netfx-aspnet_wp_exe_b03f5f7f11d50a3a_6.3.9600.16463_none_9846eec03bda280a\aspnet_wp.exe,1,0,0,1
76,42167-NTFS:\Windows\WinSxS\amd64_microsoft-windows-snmp-agent-service_31bf3856ad364e35_6.3.9600.16384_none_e7f341722c39df40\snmp.exe,1,0,0,1
77,161-NTFS:\BOOTSECT.BAK,0,1,0,1
78,85044-NTFS:\Users\Administrator\AppData\Local\Microsoft\PlayReady,1,0,0,1
79,81997-NTFS:\Windows\WinSxS\amd64_microsoft-windows-s..up-drivepreparation_31bf3856ad364e35_6.3.9600.16384_none_91afe7663cf4801e\BdeHdCfg.exe,1,0,0,1
80,121-NTFS:\Boot\tr-TR,0,0,1,1
81,84488-NTFS:\Windows\WinSxS\x86_microsoft-windows-isoburn_31bf3856ad364e35_6.3.9600.16384_none_7ad26ba6b4d4d6da\isoburn.exe,1,0,0,1
82,72648-NTFS:\Windows\WinSxS\x86_microsoft-hyper-v-g..t-installer-support_31bf3856ad364e35_6.3.9600.16384_none_045bf44483c207df\WindowsServer2003-KB943295-x86-DEU.exe,1,0,0,1
83,84190-NTFS:\Windows\WinSxS\msil_microsoft.storagemanagement.oobe_31bf3856ad364e35_6.3.9600.16384_none_983d7c2c96a8e0a1\SetupCluster.exe,1,0,0,1
84,72231-NTFS:\Windows\WinSxS\msil_wsatconfig_b03f5f7f11d50a3a_6.3.9600.16384_none_23eae3147b8caec0\WsatConfig.exe,1,0,0,1
85,87111-NTFS:\FileShare\Secret\Beth_Secret.txt,0,1,0,1
88,75640-NTFS:\Windows\WinSxS\msil_microsoft-windows-workplacejoin_31bf3856ad364e35_6.3.9600.16384_none_6c98aaf16c52982b\AutoWorkplace.exe,1,0,0,1
